Order No,Time from pickup to arrival
Order_No_19248,1497.5433750450682
Order_No_12736,1140.7906560643385
Order_No_768,1140.7906560643385
Order_No_15332,1140.7906560643385
Order_No_21373,1259.0170789671545
Order_No_14573,2255.1769481659967
Order_No_6731,2467.338666864748
Order_No_18436,1497.5433750450682
Order_No_2288,1497.5433750450682
Order_No_9063,2141.730103526224
Order_No_4814,1497.5433750450682
Order_No_16747,2579.4766761217825
Order_No_6376,1637.9364266939724
Order_No_1199,1404.9538532225324
Order_No_17119,1584.965293379055
Order_No_14832,1259.0170789671545
Order_No_12321,798.796005882685
Order_No_24820,1584.965293379055
Order_No_6065,1404.9538532225324
Order_No_13176,595.3626455109278
Order_No_23557,798.796005882685
Order_No_20488,1954.670488713925
Order_No_24214,1404.9538532225324
Order_No_21206,2255.1769481659967
Order_No_1930,860.820708423676
Order_No_28180,1954.670488713925
Order_No_13329,595.3626455109278
Order_No_19004,860.820708423676
Order_No_27510,1907.1879056667644
Order_No_25394,1943.693063597081
Order_No_11299,2584.444225239935
Order_No_21269,1584.965293379055
Order_No_3565,3100.5507548640676
Order_No_6473,1259.0170789671545
Order_No_6258,1140.7906560643385
Order_No_27480,1943.693063597081
Order_No_23302,2141.730103526224
Order_No_16731,1907.1879056667644
Order_No_21353,1497.5433750450682
Order_No_10610,860.820708423676
Order_No_5930,1404.9538532225324
Order_No_5171,1954.670488713925
Order_No_21590,1497.5433750450682
Order_No_643,1259.0170789671545
Order_No_6308,1140.7906560643385
Order_No_16885,2141.730103526224
Order_No_5421,1584.965293379055
Order_No_21864,2467.338666864748
Order_No_11618,1404.9538532225324
Order_No_27514,2437.2701370328455
Order_No_26356,1637.9364266939724
Order_No_20174,1259.0170789671545
Order_No_23193,2579.4766761217825
Order_No_17568,1404.9538532225324
Order_No_25549,1404.9538532225324
Order_No_23942,860.820708423676
Order_No_25817,1584.965293379055
Order_No_16582,2997.7017061657116
Order_No_25259,2467.338666864748
Order_No_7311,1140.7906560643385
Order_No_6198,1584.965293379055
Order_No_18810,1140.7906560643385
Order_No_26162,860.820708423676
Order_No_4192,1404.9538532225324
Order_No_28224,1140.7906560643385
Order_No_15612,860.820708423676
Order_No_21556,2141.730103526224
Order_No_15698,1954.670488713925
